# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.02),Noisy fluxes C (sigma=0.03),Noisy fluxes D (sigma=0.05),Noisy fluxes E (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.3)
9.876367137355585,1.071601849819654,1.08343711539078,1.02836858059553,1.029335339073387,1.089111517862689,1.016488918077786,1.0321844398582125,1.02836858059553,1.029335339073387,1.089111517862689,1.016488918077786,0.9296790887930776,1.02836858059553,1.029335339073387,1.089111517862689,1.016488918077786
9.8798459563543,1.072048780131398,1.058575855077588,1.078792899717921,1.084306146036368,1.081255893004552,1.025773500790007,1.058575855077588,1.078792899717921,1.084306146036368,1.081255893004552,1.025773500790007,1.058575855077588,1.078792899717921,1.084306146036368,1.081255893004552,1.025773500790007
9.883324775353016,1.072489008981504,1.067470605735231,1.06260393569624,1.075753869423133,1.143307753251489,0.9896747115211632,1.067470605735231,1.06260393569624,1.0407938934269307,1.0746411785233287,0.9896747115211632,1.067470605735231,1.06260393569624,0.9708739414345264,0.9373080290670079,0.9896747115211632
9.886803594351733,1.07295907357138,1.072376427634381,1.092269900304103,1.097079026764888,1.0862932420306,1.077663557666113,1.072376427634381,1.092269900304103,1.097079026764888,1.0862932420306,1.077663557666113,1.072376427634381,1.092269900304103,1.097079026764888,1.0862932420306,1.077663557666113
9.890282413350448,1.073396767398825,1.066189317439037,1.026522451096769,1.076524930729867,0.9935866453724048,1.183265568062632,1.066189317439037,1.026522451096769,1.076524930729867,0.9935866453724048,1.183265568062632,1.066189317439037,1.026522451096769,1.076524930729867,0.9935866453724048,1.183265568062632
9.893761232349163,1.073834682485451,1.068719271193478,1.118162265806,1.06089541101434,1.148888179863166,1.026980388463027,1.068719271193478,1.118162265806,1.06089541101434,1.148888179863166,1.026980388463027,1.068719271193478,1.118162265806,1.06089541101434,1.148888179863166,1.026980388463027
9.89724005134788,1.074293355604351,1.075393314557959,1.05305174163723,1.143759982099949,1.088723479861456,1.106292814043967,1.075393314557959,1.05305174163723,1.1328355947575444,1.088723479861456,1.106292814043967,1.075393314557959,1.05305174163723,1.1109868200727353,1.088723479861456,1.106292814043967
9.900718870346598,1.074751563800824,1.064098919318978,1.047571156099538,1.090953568414311,1.062026331416357,1.085778093727844,1.2039257991212657,1.047571156099538,1.090953568414311,1.062026331416357,1.085778093727844,1.4835795587258411,1.047571156099538,1.090953568414311,1.062026331416357,1.085778093727844
9.904197689345311,1.075220823095936,1.080859209250722,1.098655106146549,1.105728671231903,1.09667037029079,1.061507138048257,1.080859209250722,1.098655106146549,1.105728671231903,1.09667037029079,1.061507138048257,1.080859209250722,1.098655106146549,1.105728671231903,1.09667037029079,1.061507138048257
9.90767650834403,1.075681639880545,1.084463552841728,1.046693773733036,1.088987885365659,1.093911833114424,1.011228858447539,1.084463552841728,1.046693773733036,1.088987885365659,1.093911833114424,1.011228858447539,1.084463552841728,1.046693773733036,1.088987885365659,1.093911833114424,1.011228858447539
9.911155327342746,1.076103912479275,1.070177262337654,1.107454487556773,1.086796875570367,1.131724861562815,1.048432796997174,1.070177262337654,1.107454487556773,1.086796875570367,1.131724861562815,0.9764648760797742,1.070177262337654,1.107454487556773,1.086796875570367,1.131724861562815,0.8325290342449744
9.914634146341465,1.076653943714957,1.082420578312541,1.088023147572077,1.056444505054421,1.112110208096495,0.9754024532861232,1.082420578312541,1.088023147572077,1.056444505054421,1.112110208096495,0.9754024532861232,1.082420578312541,1.088023147572077,1.056444505054421,1.112110208096495,0.9754024532861232
9.918112965340178,1.077040701564807,1.086227090350021,1.073147006901214,1.077282871585969,1.079434915407653,1.127221659390665,1.086227090350021,1.073147006901214,1.077282871585969,1.079434915407653,1.127221659390665,1.086227090350021,1.073147006901214,1.077282871585969,1.079434915407653,1.127221659390665
9.921591784338895,1.077573747808661,1.084420095295956,1.048818260233755,1.065173887670275,1.082455065512519,1.085201561040237,1.084420095295956,1.048818260233755,1.065173887670275,1.082455065512519,1.085201561040237,1.084420095295956,1.048818260233755,1.065173887670275,1.082455065512519,1.085201561040237
9.925070603337613,1.077930051763895,1.082135263752484,1.07515241351667,1.102040838195464,1.018524001971752,0.9688854379941751,1.082135263752484,1.07515241351667,1.102040838195464,1.018524001971752,0.9688854379941751,1.082135263752484,1.07515241351667,1.102040838195464,1.018524001971752,0.9688854379941751
9.928549422336328,1.078350943855065,1.06833914147922,1.064659194722122,1.077551022908748,1.117356893912807,0.9607386134860856,1.06833914147922,1.064659194722122,1.077551022908748,1.117356893912807,0.9607386134860856,1.06833914147922,1.064659194722122,1.077551022908748,1.117356893912807,0.9607386134860856
9.932028241335043,1.078799726128548,1.089362570296631,1.075848685208036,1.111380155585903,1.087969728098948,1.069814062264236,1.089362570296631,1.075848685208036,1.111380155585903,1.087969728098948,1.069814062264236,1.089362570296631,1.075848685208036,1.111380155585903,1.087969728098948,1.069814062264236
9.93550706033376,1.079234668281057,1.067433007677248,1.108852157903533,1.131049742180632,1.083842419496843,1.045340979684168,1.067433007677248,1.108852157903533,1.131049742180632,1.083842419496843,1.045340979684168,1.067433007677248,1.108852157903533,1.131049742180632,1.083842419496843,1.045340979684168
9.938985879332476,1.079816546805316,1.068931877578013,1.056966214211208,1.072550407721453,1.114582831782475,1.124083978331081,1.068931877578013,1.056966214211208,1.072550407721453,1.114582831782475,1.124083978331081,1.068931877578013,1.056966214211208,1.072550407721453,1.114582831782475,1.124083978331081
9.942464698331191,1.080078638561781,1.087306146011728,1.079806850901637,1.104912249836545,1.095038215008907,1.028734945562597,1.087306146011728,1.120318906779157,1.104912249836545,1.095038215008907,1.028734945562597,1.087306146011728,1.201343018534197,1.104912249836545,1.095038215008907,1.028734945562597
