# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.03),Noisy fluxes C (sigma=0.05),Noisy fluxes D (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.3)
4.641918063314711,0.9935241427210136,0.994120585873186,0.9976609127585722,0.9598565616323934,0.9753494924294536,0.994120585873186,0.9976609127585722,0.9598565616323934,0.9753494924294536,0.994120585873186,0.9976609127585722,0.9598565616323934,0.9753494924294536
4.645400372439479,0.9911016727886058,0.9957607812720376,1.024371502598851,0.9641074139788216,0.99216145040195,0.9957607812720376,1.024371502598851,0.9641074139788216,0.99216145040195,0.9957607812720376,1.024371502598851,0.9641074139788216,0.99216145040195
4.648882681564246,0.9886708265519464,0.9911690239529156,0.9918825656950232,0.9922369155634544,1.034736716317393,0.9911690239529156,0.9918825656950232,0.9922369155634544,1.034736716317393,0.9911690239529156,0.9918825656950232,0.9922369155634544,1.034736716317393
4.652364990689013,0.9864093117225664,0.9961973838845358,0.9648981126676892,0.98830915364228,0.903922158946544,0.9961973838845358,0.9648981126676892,0.98830915364228,0.903922158946544,0.9961973838845358,0.9648981126676892,0.98830915364228,0.903922158946544
4.655847299813781,0.98445482448105,0.987984809735494,1.004368013244459,0.9504296257698696,1.023613746679478,0.987984809735494,1.004368013244459,0.9504296257698696,1.023613746679478,0.987984809735494,1.004368013244459,0.9504296257698696,1.023613746679478
4.659329608938548,0.982481724813958,0.9922374997152452,0.9757997778094804,0.993650614773629,0.947894665264906,0.9922374997152452,0.9757997778094804,0.993650614773629,0.947894665264906,0.9922374997152452,0.9757997778094804,0.993650614773629,0.947894665264906
4.662811918063315,0.9805922177976844,0.9898755074380186,1.031296135880898,0.9906570203436488,0.923814869424226,0.9898755074380186,1.031296135880898,0.9906570203436488,1.0995763752500678,0.9898755074380186,1.031296135880898,0.9906570203436488,1.4510993869017517
4.666294227188082,0.9790461827799866,0.9671772175750696,1.039935820690614,1.008775808436466,0.9962435642457084,0.9671772175750696,1.039935820690614,1.008775808436466,0.9962435642457084,0.9671772175750696,1.039935820690614,1.008775808436466,0.9962435642457084
4.669776536312849,0.9775377539373024,0.9635549993463828,0.9974015860944088,0.958397147424674,0.8756548630268883,0.9635549993463828,0.9974015860944088,0.958397147424674,0.8756548630268883,0.9635549993463828,0.9974015860944088,0.958397147424674,0.8756548630268883
4.673258845437616,0.9764203617297482,0.9903889383676926,1.005256702480699,0.9245484060174348,0.9644277953729744,0.9903889383676926,1.005256702480699,0.9245484060174348,0.9644277953729744,0.9903889383676926,1.005256702480699,0.9245484060174348,0.9644277953729744
4.676741154562384,0.9754300989632794,0.9835723007348308,0.9306781323774886,0.9462032732914872,1.056923357005651,0.9835723007348308,0.9306781323774886,0.9462032732914872,1.056923357005651,0.9835723007348308,0.9306781323774886,0.9462032732914872,1.056923357005651
4.680223463687151,0.9744487693179,0.9799814146236476,0.9199485894274028,1.018041901326099,0.9240059055763326,0.9799814146236476,0.9199485894274028,1.018041901326099,0.9240059055763326,0.9799814146236476,0.9199485894274028,1.018041901326099,0.9240059055763326
4.683705772811918,0.9739808025307156,0.9901605523303868,1.022515388514391,0.990081692256899,1.010180971531584,0.8841900181619933,1.022515388514391,0.9151202837093884,1.010180971531584,0.6722489498252062,1.022515388514391,0.7651974666143669,1.010180971531584
4.687188081936686,0.9735753046404244,0.9566572406586052,0.9604429357210228,0.9915536598440752,0.9902256140482584,0.9566572406586052,0.9038475109692867,0.9915536598440752,0.9902256140482584,0.9566572406586052,0.7906566614658146,0.9915536598440752,0.9902256140482584
4.690670391061452,0.9733925727445614,0.9806734274876544,0.9815399906014362,0.908707060491968,0.9550825745690148,0.9806734274876544,0.9815399906014362,0.908707060491968,0.9550825745690148,0.9806734274876544,0.9815399906014362,0.908707060491968,0.9550825745690148
4.69415270018622,0.973423188349886,0.9869163359369088,0.9716641412601712,0.942750307192189,1.043477889633049,0.9869163359369088,0.9716641412601712,0.942750307192189,1.043477889633049,0.9869163359369088,0.9716641412601712,0.942750307192189,1.043477889633049
4.697635009310988,0.9735481537940832,0.9594344219934988,0.972049554281205,1.022602446325556,0.9313469848622212,0.9594344219934988,0.972049554281205,1.022602446325556,0.9313469848622212,0.9594344219934988,0.972049554281205,1.022602446325556,0.9313469848622212
4.701117318435754,0.974078143026078,0.9758656306110928,0.9981882060346584,0.9982865262181236,0.9854934404449442,0.9758656306110928,0.9981882060346584,0.9982865262181236,1.0173629028344693,0.9758656306110928,0.9981882060346584,0.9982865262181236,1.0811018276135196
4.704599627560522,0.9748858401881744,0.9817244933330928,0.9902580112330498,0.975028024965474,0.931909895734582,0.9817244933330928,0.9902580112330498,0.975028024965474,0.931909895734582,0.9817244933330928,0.9902580112330498,0.975028024965474,0.931909895734582
4.708081936685289,0.975728813893032,0.9970982817529472,0.9386579935830954,0.9633634329116222,0.9328239100094032,0.9970982817529472,0.9386579935830954,0.9633634329116222,0.9328239100094032,0.9970982817529472,0.9386579935830954,0.9633634329116222,0.9328239100094032
4.711564245810056,0.976846788696539,0.9683754793332948,0.9909088517821278,0.9456400038772468,0.9495617145197348,0.9683754793332948,0.9909088517821278,0.9456400038772468,0.9495617145197348,0.9683754793332948,0.9909088517821278,0.9456400038772468,0.9495617145197348
4.715046554934823,0.9780692487595888,0.9926416132723338,0.9800615025229308,0.8847315430419966,1.082796450180642,0.9926416132723338,0.9800615025229308,0.8847315430419966,1.1644233596705076,0.9926416132723338,0.9800615025229308,0.8847315430419966,1.327677178650239
4.718528864059591,0.9795927266836104,0.9779042107322556,0.9785202808776474,0.9864088606966276,0.9646019555474163,0.9779042107322556,0.9785202808776474,0.9864088606966276,0.9646019555474163,0.9779042107322556,0.9785202808776474,0.9864088606966276,0.9646019555474163
4.722011173184358,0.9810445380583191,0.976697197489084,1.001304802045523,0.9566419317322752,1.028545347588135,0.976697197489084,1.001304802045523,0.9566419317322752,1.028545347588135,0.976697197489084,1.001304802045523,0.9566419317322752,1.028545347588135
4.725493482309125,0.9828794306983684,0.9854365970183636,0.9841790330385236,0.9254061565963596,0.9932256474459704,0.9854365970183636,0.9841790330385236,0.9254061565963596,0.9932256474459704,0.9854365970183636,0.9841790330385236,0.9254061565963596,0.9932256474459704
4.728975791433892,0.9850286126259936,1.005615509975528,0.9771011486010108,1.00843077363768,0.9587734586243064,0.9626880202218507,0.9771011486010108,1.00843077363768,0.9587734586243064,0.8768330407144963,0.9771011486010108,1.00843077363768,0.9587734586243064
4.732458100558659,0.9872792480424905,0.977137262366091,1.039187150897573,0.9687862449375836,1.04515201433354,0.9275482172081386,0.9317666246834314,0.9687862449375836,1.04515201433354,0.8283701268922339,0.7169255722551484,0.9687862449375836,1.04515201433354
4.735940409683427,0.9894486789281848,1.002662759197085,0.992646559131932,0.8534341990291874,1.061860763423232,0.9840515656016691,0.992646559131932,0.8534341990291874,1.061860763423232,0.9468291784108372,0.992646559131932,0.8534341990291874,1.061860763423232
4.739422718808194,0.99199551497233,0.9798971993649142,1.002267873287409,1.13650328092823,1.022848397188883,0.9798971993649142,1.002267873287409,1.13650328092823,1.022848397188883,0.9798971993649142,1.002267873287409,1.13650328092823,1.022848397188883
4.742905027932961,0.9945941085169548,0.9828767985798796,0.954389368277621,0.9782288209755126,1.11477218884915,0.9828767985798796,0.954389368277621,0.9782288209755126,1.11477218884915,0.9828767985798796,0.954389368277621,0.9782288209755126,1.11477218884915
